,Unnamed: 0,Project Full Name,Project Status,Project Startdate,Project Enddate,PR Number,Merged PR Number,First PR Created Time,Comment Length,Merge Frequency,Issue Comment Number,Review Comment Number,Commits number,Stars,Forks,size,contributor,average_additions,average_deletions,average_pr_changed_files,average_pr_commits_count,average_pr_comments_count,average_pr_review_coments_count,average_total_comments,merged_average_additions,merged_average_deletions,merged_average_pr_changed_files,merged_average_pr_commits_count,merged_average_pr_comments_count,merged_average_pr_review_coments_count,merged_average_total_comments
57,62,apache/phoenix-omid,1,3/28/16,11/15/19,82,11,6/3/16 20:57,0,2,53,155,1315,69,43,4810,17,542.2222222,172.0888889,15.24444444,4.422222222,0.111111111,2.088888889,2.2,1250.5,322.75,26.5,8.625,0.0,0.0,0.0
58,63,apache/climate,1,2/15/13,2/19/14,527,451,3/8/14 21:01,0,41,1925,101,2241,134,112,35741,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59,64,apache/OpenWhisk,1,11/23/16,7/17/19,3195,2082,2/19/16 19:19,0,100,17539,11526,2928,5458,1051,68282,188,133.5326252,93.75366717,6.009104704,2.862923622,3.615073343,3.805766313,7.420839656,130.4127747,99.69986264,5.864010989,2.634615385,3.451236264,3.451236264,6.902472527
60,65,apache/parquet-cpp,1,5/20/14,4/22/15,496,0,10/28/14 19:15,0,41,1812,2481,502,360,184,2700,28,557.0,388.4285714,8.285714286,2.0,2.0,1.285714286,3.285714286,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61,66,apache/Phoenix,1,12/11/13,5/21/14,1083,303,7/4/14 10:53,0,181,3374,8233,3573,904,922,72459,109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62,67,apache/Pinot,1,10/17/18,7/21/21,6488,5927,11/10/14 22:32,0,191,11092,28950,8339,3651,784,229062,187,567.0687458,361.2152918,15.45171026,2.629107981,1.472166331,5.550301811,7.022468142,468.1640798,360.0055432,13.8263119,2.440872136,1.377679231,1.377679231,2.755358463
63,68,apache/PLC4X,1,12/18/17,4/17/19,269,211,1/8/18 16:52,0,17,401,558,4412,420,176,134791,47,720.6315789,263.8070175,21.05263158,6.140350877,1.666666667,2.754385965,4.421052632,427.5897436,106.4871795,13.8974359,3.615384615,1.615384615,1.615384615,3.230769231
64,69,apache/PredictionIO,1,5/26/16,10/18/17,407,192,10/24/13 11:09,0,24,905,370,4495,12519,2021,36295,133,333.5986842,742.2828947,23.25,4.0,2.697368421,0.907894737,3.605263158,408.5384615,159.8461538,53.23076923,5.538461538,2.923076923,2.923076923,5.846153846
65,71,apache/Ranger,1,7/24/14,1/18/17,38,0,1/8/15 7:54,0,1,162,15,3707,552,570,102045,79,72300.75,2617.0,146.5,44.0,1.5,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,72,apache/Ratis,1,1/3/17,2/17/21,502,396,5/23/18 6:29,0,10,1190,1278,1202,593,214,7243,53,110.0098765,55.87160494,7.24691358,2.669135802,2.249382716,2.686419753,4.935802469,101.039604,46.78547855,7.491749175,2.630363036,2.138613861,2.138613861,4.277227723
67,73,apache/REEF,1,8/12/14,11/18/15,1496,38,10/23/14 16:36,0,94,9098,12700,3875,95,104,40208,67,428.7596302,115.8967643,23.45454545,2.177195686,7.312788906,6.174114022,13.48690293,79.2,64.4,12.0,1.0,8.6,8.6,17.2
68,74,apache/RocketMQ,1,11/21/16,9/20/17,1542,696,12/21/16 10:23,0,154,8527,1808,1844,15836,8794,10864,287,461.9700599,58.73053892,12.26347305,4.54491018,9.407185629,2.736526946,12.14371257,220.0,67.0,13.25,14.5,14.625,14.625,29.25
69,75,apache/Rya,1,9/18/15,9/18/19,307,36,11/22/15 21:20,0,6,1238,2177,460,101,78,8748,26,2381.146179,3246.936877,46.25581395,2.870431894,3.897009967,7.106312292,11.00332226,2261.794118,2633.735294,60.11764706,1.882352941,1.352941176,1.352941176,2.705882353
70,76,apache/Samza,1,7/30/13,1/21/15,1506,499,4/15/15 8:41,0,84,1851,15928,2410,705,294,33226,124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71,78,apache/ShardingSphere,1,11/10/18,4/16/20,7786,7061,1/31/16 13:13,0,433,25329,5619,30672,14814,5129,434276,315,1508.650132,770.139314,36.38627968,27.75461741,1.278627968,0.914511873,2.193139842,966.6642643,684.751952,32.1015015,19.99159159,1.172972973,1.172972973,2.345945946
72,79,apache/SINGA,1,3/17/15,10/16/19,811,623,5/16/15 16:19,0,15,1647,1276,2360,2380,703,19708,56,1093.571157,1104.97723,18.08728653,6.049335863,0.571157495,1.738140417,2.309297913,474.6035806,349.4092072,8.667519182,2.547314578,0.557544757,0.557544757,1.115089514
73,80,apache/SkyWalking,1,12/8/17,4/17/19,3845,3328,3/28/16 12:26,0,226,26413,10065,6825,18092,5339,161191,378,592.6080306,482.957935,23.17304015,5.284894837,2.579349904,0.773422562,3.352772467,314.4055794,334.8551502,18.05579399,4.41416309,2.364806867,2.364806867,4.729613734
74,82,apache/Sqoop,1,6/13/11,3/21/12,64,15,6/15/12 0:33,0,6,115,104,969,863,532,18789,23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75,83,apache/Storm,1,9/18/13,9/17/14,3375,2607,12/11/13 18:27,0,281,14429,12199,10461,6294,4076,205453,281,1375.539063,121.6679688,13.33984375,25.9609375,5.36328125,1.71484375,7.078125,1507.757732,70.57731959,13.87628866,32.58247423,5.974226804,5.974226804,11.94845361
76,84,apache/Stratos,1,6/20/13,5/21/14,498,200,6/22/14 10:01,0,42,348,440,8951,152,111,67395,49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
77,85,apache/Streams,1,11/20/12,7/19/17,514,410,4/22/14 17:49,0,9,673,592,1781,69,42,147991,17,1113.800539,465.4959569,22.11859838,7.708894879,1.58490566,1.539083558,3.123989218,431.4693141,379.9819495,14.84115523,3.028880866,1.649819495,1.649819495,3.299638989
78,86,apache/Superset,1,5/21/17,11/19/20,9395,7773,7/23/15 6:12,0,224,40000,20503,8586,40000,8100,282442,440,3614.447332,758.6495373,20.60563103,6.835991337,2.670998228,2.251230557,4.922228785,821.5877601,725.7542228,6.421787026,3.222276622,2.55373317,2.55373317,5.10746634
79,87,apache/SystemML,1,11/2/15,5/18/17,1428,108,11/20/15 21:50,0,75,5440,2794,7578,881,405,328115,123,741.5079681,492.3784861,19.58565737,3.011952191,5.34063745,1.021912351,6.362549801,286.75,302.0,14.0,1.0,1.25,1.25,2.5
80,88,apache/phoenix-tephra,1,3/7/16,11/15/19,90,1,9/2/16 22:47,0,2,191,429,419,28,50,5392,22,880.5333333,100.68,12.04,1.186666667,2.386666667,5.533333333,7.92,21.0,21.0,21.0,2.0,0.0,0.0,0.0
81,89,apache/Tez,1,2/24/13,7/16/14,112,47,8/7/14 18:43,0,7,376,167,2853,343,326,28735,39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82,90,apache/TinkerPop,1,1/16/15,5/23/16,1475,1133,2/8/15 1:24,0,87,5761,1798,17709,1427,681,173609,143,385.7563291,162.2246835,26.38291139,4.547468354,3.598101266,0.272151899,3.870253165,352.5889831,111.7457627,17.46610169,4.127118644,3.423728814,3.423728814,6.847457627
83,91,apache/trafficcontrol,1,7/12/16,5/16/18,4133,3093,10/17/16 16:56,0,180,14082,14147,11685,671,282,107999,109,1400.079406,310.7779212,18.11878631,5.331181407,2.472562944,1.018076178,3.490639122,621.9508427,262.2837079,11.76264045,3.084269663,3.370786517,3.370786517,6.741573034
84,92,apache/Trafodion,1,5/24/15,12/20/17,1850,1654,6/20/15 3:00,0,60,12186,4481,7254,243,159,88977,69,969.1554404,709.3871207,21.31976314,2.965210955,6.741672835,2.518134715,9.25980755,909.2043551,471.2102178,22.01423786,2.639865997,6.486599665,6.486599665,12.97319933
85,93,apache/TVM,1,3/6/19,11/18/20,7309,6557,12/11/16 19:05,0,348,30250,32964,7006,7333,2257,51155,398,658.2704005,249.1496537,13.25323698,6.310147546,3.197530864,4.329719964,7.527250828,240.6874576,131.5759322,9.5,3.949491525,3.107118644,3.107118644,6.214237288
86,94,apache/Twill,1,11/14/13,6/15/16,78,0,8/12/16 12:53,0,2,165,498,294,65,70,13155,26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
87,95,apache/Unomi,1,10/5/15,2/20/19,357,299,4/25/16 7:31,0,9,362,421,2388,178,91,14941,39,443.2162162,71.41891892,7.972972973,3.175675676,0.648648649,0.567567568,1.216216216,504.0952381,70.47619048,8.523809524,3.222222222,0.492063492,0.492063492,0.984126984
88,96,apache/Usergrid,1,10/3/13,8/19/15,599,465,11/25/13 17:57,0,26,396,280,10954,997,438,383452,78,2827.712251,2360.954416,39.60683761,24.45584046,0.700854701,0.501424501,1.202279202,1684.32567,2572.16092,22.38314176,9.77394636,0.61302682,0.61302682,1.22605364
89,97,apache/Whirr,1,5/11/10,8/17/11,3,0,12/18/11 18:26,0,0,7,0,569,95,60,9902,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90,98,apache/Zeppelin,1,12/23/14,5/18/16,4177,26,3/25/15 9:03,0,246,22005,7649,5011,5474,2560,98711,322,369.8955056,95.62022472,8.588764045,5.239325843,6.452808989,1.582022472,8.034831461,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91,99,apache/incubator-retired-amaterasu,2,9/7/17,9/18/19,58,47,10/30/17 6:10,0,2,24,62,811,56,25,4663,16,430.5789474,398.7368421,25.22807018,10.63157895,0.368421053,0.964912281,1.333333333,404.326087,380.1304348,24.47826087,11.26086957,0.217391304,0.217391304,0.434782609
92,100,apache/incubator-ariatosca,2,8/27/16,7/1/18,229,170,10/18/16 8:32,0,10,210,1468,190,28,46,1745,12,613.6331878,260.7554585,15.09606987,1.187772926,0.912663755,6.410480349,7.323144105,497.3117647,208.5,14.28823529,1.023529412,0.888235294,0.888235294,1.776470588
93,101,apache/incubator-retired-blur,2,7/24/12,6/22/17,5,0,6/22/14 11:02,0,0,6,4,5242,32,32,53376,15,197.2,34.4,2.0,1.2,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
94,102,apache/incubator-retired-concerted,2,10/14/15,4/25/16,3,0,10/25/15 12:46,0,0,4,0,41,9,5,132,3,330.3333333,456.6666667,21.33333333,1.333333333,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
95,103,apache/incubator-retired-edgent,2,2/29/16,11/20/19,346,324,3/10/16 19:58,0,8,318,242,1398,203,140,25183,18,334.4855491,233.7687861,13.8265896,4.043352601,0.913294798,0.670520231,1.583815029,197.9506173,106.632716,10.32716049,2.083333333,0.737654321,0.737654321,1.475308642
96,104,apache/incubator-retired-gearpump,2,3/8/16,9/19/18,243,3,4/15/16 10:22,0,8,731,411,2251,300,95,22289,26,359.3636364,155.4297521,16.22727273,2.561983471,2.871900826,1.561983471,4.433884298,93.66666667,9.0,2.666666667,1.0,4.666666667,4.666666667,9.333333333
97,105,apache/incubator-retired-gossip,2,4/28/16,8/21/18,68,48,5/29/16 5:05,0,2,74,162,194,234,111,1420,11,871.1029412,87.42647059,11.82352941,1.573529412,1.088235294,2.294117647,3.382352941,277.75,79.4375,11.4375,1.145833333,0.729166667,0.729166667,1.458333333
98,106,apache/incubator-retired-horn,2,9/4/15,7/13/17,31,23,9/24/15 23:13,0,1,13,2,40,28,16,241,3,478.516129,126.5806452,9.580645161,1.483870968,0.419354839,0.064516129,0.483870968,556.0,138.4782609,10.30434783,1.086956522,0.130434783,0.130434783,0.260869565
99,107,apache/incubator-retired-htrace,2,11/11/14,4/11/18,8,2,9/9/15 0:30,0,0,11,10,605,101,65,2769,17,300.875,21.75,3.75,2.125,0.25,0.0,0.25,840.0,1.5,7.5,4.5,0.0,0.0,0.0
100,108,apache/incubator-retired-iota,2,1/20/16,2/15/18,33,27,5/11/16 1:58,0,1,57,3,190,31,31,3449,7,239.3030303,55.27272727,7.212121212,4.424242424,1.515151515,0.0,1.515151515,270.5555556,47.96296296,7.518518519,4.888888889,1.37037037,1.37037037,2.740740741
101,109,apache/incubator-retired-mrql,2,3/13/13,8/17/17,33,31,4/21/15 17:55,0,1,9,0,169,16,15,1282,5,221.5151515,45.15151515,7.333333333,1.060606061,0.242424242,0.0,0.242424242,180.7741935,44.35483871,6.741935484,1.064516129,0.161290323,0.161290323,0.322580645
102,110,apache/incubator-myriad,2,3/1/15,1/24/20,131,29,9/27/15 3:58,0,2,309,263,439,153,73,10766,29,1007.862595,682.0534351,17.09160305,2.694656489,2.007633588,1.618320611,3.625954198,577.4137931,123.2413793,6.827586207,1.275862069,0.862068966,0.862068966,1.724137931
103,111,apache/incubator-retired-openaz,2,1/20/15,8/26/16,4,0,12/3/15 9:07,0,0,12,15,66,15,24,15887,4,15173.33333,388.6666667,263.6666667,1.333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
104,112,apache/incubator-retired-pirk,2,6/17/16,4/17/17,116,2,7/14/16 4:50,0,11,271,219,183,57,24,439565,8,883.4827586,780.1034483,15.77586207,4.948275862,2.293103448,1.827586207,4.120689655,91.5,3.0,2.0,2.0,2.0,2.0,4.0
105,113,apache/incubator-retired-quickstep,2,3/29/16,12/1/18,358,302,4/18/16 5:03,0,11,797,1074,970,85,57,12007,21,470.3910615,1623.307263,21.32681564,1.396648045,2.217877095,2.969273743,5.187150838,393.4801325,1342.572848,18.76821192,1.11589404,2.026490066,2.026490066,4.052980132
106,114,apache/incubator-retired-ripple,2,10/16/12,12/6/15,72,34,5/14/13 23:30,0,2,157,36,1144,170,60,9435,36,34.93055556,12.61111111,2.583333333,1.736111111,2.138888889,0.5,2.638888889,38.02941176,5.911764706,2.323529412,1.088235294,1.705882353,1.705882353,3.411764706
107,115,apache/incubator-s2graph,2,11/29/15,11/29/20,183,86,1/12/16 7:22,0,3,269,58,1681,260,65,14439,15,475.6010929,231.5464481,15.73224044,5.551912568,1.420765027,0.295081967,1.715846995,406.7674419,177.1860465,12.37209302,4.0,0.651162791,0.651162791,1.302325581
108,116,apache/incubator-retired-s4,2,9/26/11,6/19/14,2,0,3/13/12 17:27,0,0,0,0,237,39,18,26686,5,214.0,191.5,7.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
109,117,apache/incubator-samoa,2,12/15/14,3/11/21,71,19,1/27/15 12:42,0,1,268,117,118,238,108,6135,18,4351.28169,642.3943662,44.76056338,3.056338028,3.23943662,1.183098592,4.422535211,14306.89474,1910.526316,111.6842105,2.210526316,3.421052632,3.421052632,6.842105263
110,118,apache/Sirona,2,10/15/13,7/3/17,2,0,11/1/13 14:46,0,0,2,0,893,107,55,6825,9,620.0,164.5,45.5,5.5,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
111,119,apache/incubator-retired-slider,2,4/29/14,5/24/18,2,0,11/10/14 21:28,0,0,0,1,1974,78,75,16472,8,312.0,2.0,9.0,22.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
112,120,apache/incubator-retired-tamaya,2,11/14/14,4/30/20,53,40,12/6/14 12:24,0,1,55,29,1575,43,34,7630,10,171.1886792,113.490566,11.81132075,1.452830189,1.037735849,0.547169811,1.58490566,99.35,133.275,12.225,1.5,0.85,0.85,1.7
113,121,apache/incubator-retired-wave,2,12/4/10,1/15/18,25,13,1/12/14 18:10,0,0,105,55,406,185,79,200606,12,4057.458333,6334.625,441.2083333,12.45833333,4.166666667,1.791666667,5.958333333,810.3846154,6038.384615,268.7692308,3.923076923,4.153846154,4.153846154,8.307692308
114,122,apache/incubator-weex,2,11/30/16,5/12/21,2382,1712,1/31/17 4:35,0,44,4907,522,12026,14002,1857,282740,196,1681.341053,1291.498526,21.43157895,11.50778947,1.097263158,0.218947368,1.316210526,611.4727592,467.8471002,9.663151728,3.804920914,0.972466315,0.972466315,1.94493263
